15:14:36.783 WARN  Malformed command packet! Kicking. 
15:30:56.573 WARN  ~~ LOOPS: 12. ENTITY #: 676//286. VIEW #: 8. BACKLOGGED :: 115.250%! ~~ 
15:30:57.614 WARN  ~~ LOOPS: 12. ENTITY #: 674//286. VIEW #: 8. BACKLOGGED :: 146.500%! ~~ 
15:30:58.726 WARN  ~~ LOOPS: 11. ENTITY #: 675//283. VIEW #: 8. BACKLOGGED :: 145.091%! ~~ 
15:30:59.751 WARN  ~~ LOOPS: 12. ENTITY #: 680//285. VIEW #: 8. BACKLOGGED :: 155.750%! ~~ 
15:31:00.774 WARN  ~~ LOOPS: 11. ENTITY #: 683//292. VIEW #: 8. BACKLOGGED :: 160.636%! ~~ 
15:31:01.948 WARN  ~~ LOOPS: 11. ENTITY #: 682//293. VIEW #: 8. BACKLOGGED :: 114.000%! ~~ 
15:31:02.973 WARN  ~~ LOOPS: 9. ENTITY #: 687//297. VIEW #: 8. BACKLOGGED :: 215.000%! ~~ 
15:31:04.124 WARN  ~~ LOOPS: 11. ENTITY #: 691//301. VIEW #: 8. BACKLOGGED :: 141.545%! ~~ 
15:31:05.170 WARN  ~~ LOOPS: 11. ENTITY #: 694//304. VIEW #: 8. BACKLOGGED :: 171.273%! ~~ 
15:31:06.197 WARN  ~~ LOOPS: 9. ENTITY #: 695//310. VIEW #: 8. BACKLOGGED :: 217.667%! ~~ 
15:31:07.327 WARN  ~~ LOOPS: 10. ENTITY #: 697//316. VIEW #: 8. BACKLOGGED :: 181.500%! ~~ 
15:31:08.354 WARN  ~~ LOOPS: 11. ENTITY #: 697//324. VIEW #: 8. BACKLOGGED :: 145.636%! ~~ 
15:31:09.378 WARN  ~~ LOOPS: 10. ENTITY #: 696//327. VIEW #: 8. BACKLOGGED :: 105.000%! ~~ 
15:31:10.407 WARN  ~~ LOOPS: 9. ENTITY #: 699//326. VIEW #: 8. BACKLOGGED :: 163.000%! ~~ 
15:31:11.431 WARN  ~~ LOOPS: 10. ENTITY #: 703//331. VIEW #: 8. BACKLOGGED :: 177.300%! ~~ 
15:31:12.542 WARN  ~~ LOOPS: 10. ENTITY #: 707//338. VIEW #: 8. BACKLOGGED :: 105.900%! ~~ 
15:31:13.731 WARN  ~~ LOOPS: 9. ENTITY #: 708//351. VIEW #: 8. BACKLOGGED :: 155.667%! ~~ 
15:31:14.917 WARN  ~~ LOOPS: 11. ENTITY #: 712//320. VIEW #: 8. BACKLOGGED :: 192.818%! ~~ 
